City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
580,Lixourion,GR,77.0,clear sky,38.2019,20.4314,Hotel Summery
584,Tezu,IN,75.69,overcast clouds,27.9167,96.1667,Circuit House
585,Acarau,BR,79.16,broken clouds,-2.8856,-40.12,castelo pizzaria
590,Yining,CN,77.07,overcast clouds,29.0361,114.5636,Xiushui Hotel
591,Kayes,ML,82.58,overcast clouds,14.0,-11.0,
592,Bani,DO,84.85,clear sky,18.2833,-70.3333,Hospedaje Henriquez
594,Hasaki,JP,75.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
600,Sapa,PH,80.92,scattered clouds,5.1544,120.3241,
602,Milkovo,RU,76.86,clear sky,54.7167,158.6167,"Hotel ""Geologist"""
605,Kirakira,SB,82.29,clear sky,-10.4544,161.9205,SanBiz Lodge
610,Lufilufi,WS,83.79,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
612,Yola,NG,76.3,light rain,9.2,12.4833,Muna Hotel
616,Matara,LK,77.23,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
617,Nha Trang,VN,78.8,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
621,Ibotirama,BR,78.89,few clouds,-12.1853,-43.2206,Serra do Rio Hotel
624,Mingaora,PK,81.99,overcast clouds,34.7758,72.3625,Burj Al Swat
633,Kavaratti,IN,80.98,moderate rain,10.5669,72.642,Green leaf
634,Mantua,IT,83.44,clear sky,45.1667,10.7833,Hotel la Favorita
635,Kaohsiung,TW,88.03,few clouds,22.6163,120.3133,御宿商旅-中山館
636,Daru,PG,76.87,overcast clouds,-9.0763,143.2092,Daru Lodge
639,Itupiranga,BR,81.48,scattered clouds,-5.1347,-49.3267,Hotel Panorama
640,Cayenne,GF,81.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
643,Gwadar,PK,83.37,overcast clouds,25.1216,62.3254,Sadaf Resort
