City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Ushuaia,AR,2022-07-19 21:57:02,scattered clouds,-54.8,-68.3,38.86,70,40,5.75
60,Pabbi,PK,2022-07-19 22:00:38,scattered clouds,34.0106,71.7989,90.28,40,41,3.6
61,Qaanaaq,GL,2022-07-19 22:01:45,scattered clouds,77.484,-69.3632,43.5,69,36,3.24
62,Celestun,MX,2022-07-19 22:01:45,broken clouds,20.8667,-90.4,88.54,64,54,14.67
63,Padang,ID,2022-07-19 22:00:29,moderate rain,-0.9492,100.3543,76.66,89,79,2.26
64,Saint-Joseph,RE,2022-07-19 22:01:46,light rain,-21.3667,55.6167,70.21,74,22,19.6
65,Tiksi,RU,2022-07-19 22:01:46,overcast clouds,71.6872,128.8694,34.65,92,96,13.94
66,Hanmer Springs,NZ,2022-07-19 22:01:47,scattered clouds,-42.5167,172.8167,43.63,93,46,2.77
67,Yablonovo,RU,2022-07-19 22:01:47,broken clouds,50.8523,37.3574,56.25,83,62,6.58
68,Vaini,TO,2022-07-19 22:01:48,clear sky,-21.2,-175.2,74.75,83,2,22.82
69,Pljevlja,ME,2022-07-19 22:01:48,clear sky,43.3333,19.3333,56.75,64,0,2.71
70,Mezen,RU,2022-07-19 22:01:48,overcast clouds,65.8522,44.24,68.09,66,100,10.69
71,Dikson,RU,2022-07-19 22:01:38,broken clouds,73.5069,80.5464,50.54,75,68,9.71
72,Zhangjiakou,CN,2022-07-19 22:01:49,overcast clouds,40.81,114.8794,70.03,45,99,1.28
73,Ancud,CL,2022-07-19 22:01:49,moderate rain,-41.8697,-73.8203,52.23,97,100,22.32
74,Oulainen,FI,2022-07-19 22:01:50,clear sky,64.2667,24.8,49.8,96,0,3.51
75,Vostok,RU,2022-07-19 22:01:50,broken clouds,46.4856,135.8833,63.99,90,83,1.12
76,Nikolskoye,RU,2022-07-19 22:00:25,scattered clouds,59.7035,30.7861,57.09,95,35,5.08
